Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2015,1,103,Beatemayi Misat,2.683498999103904,49.29370024800301,.34951612,0,.34951612,18.369188,.9379261843860149
2011,1,103,Migulat,4.363568986707833,91.19856973178685,.066635467,.035007663,0,20.899996,.4933610461303033
2012,1,103,Migulat,5.631600970635191,145.294520476833,.16211109,.016689481,0,25.79986,1.067399385094177
2013,1,103,Migulat,4.2823740192689,90.62418991699815,.27434576,0,0,21.162138,1.285675510705914
2014,1,103,Migulat,10.41330121411011,189.9109008312225,0,0,0,18.237339,0
2015,1,103,Migulat,2.399169008247554,42.29777978360653,.62442404,0,.62442404,17.630178,1.498098871205002
2011,1,103,Hadinet,4.170646994374692,56.72081024199724,.071156174,0,0,13.600002,.409608599729836
2012,1,103,Hadinet,4.482676026877016,85.3989604189992,.0041910792,0,0,19.050888,.0758696990087628
2013,1,103,Hadinet,3.945254990831018,41.59542988240719,.29307783,0,0,10.543154,1.156266788952053
2014,1,103,Hadinet,3.936505988240242,79.00485944002867,.038097553,.056894302,0,20.069794,.4465571253094822
2015,1,103,Hadinet,3.767079006880522,71.58431977033615,.26076433,0,.26076433,19.002607,.9823198826052249
2011,1,103,D/Bizen,3.384820031467825,31.81730996444821,0,0,0,9.4000006,.0081935003399849
2012,1,103,D/Bizen,3.643904998898506,24.90388984419406,.098795481,0,0,6.8343959,.7067681571934372
2013,1,103,D/Bizen,3.315421991981566,19.86651007831097,.030736962,0,0,5.9921513,.1019059978425503
2014,1,103,D/Bizen,3.52742801560089,66.79338016360998,.019777566,.030754305,0,18.935434,.2491588413831778
2015,1,103,D/Bizen,2.793022003956139,53.07468964159489,.54423589,0,.54423589,19.002604,1.572830874472857
2011,1,103,Baleda,.8425979968160391,9.015799984335899,.091337658,.070534229,0,10.700002,.1363929293584079
2012,1,103,Baleda,.7107280039926991,12.50781005248427,.053226013,.16370636,0,17.598589,.1847209112602286
2013,1,103,Baleda,2.037938992492855,30.29721020907164,.25244385,0,0,14.866593,.5144651859300211
2014,1,103,Baleda,1.330823019146919,13.35466981679201,.018254304,.0018899958,0,10.034895,.1135836760513485
2015,1,103,Baleda,1.082498006056994,2.057029995135963,.73832756,0,.73832756,1.9002621,.7992380955256522
2011,1,103,Tsenkanet,6.904888995923102,128.430980488658,.0099398773,0,0,18.600006,.1174862487241626
2012,1,103,Tsenkanet,5.275042967870832,105.9020400308073,.13238904,.0031754186,0,20.076052,.8564396812580526
2013,1,103,Tsenkanet,3.437418016605079,62.83553019165993,.086964779,0,.066233374,18.279863,.3580530495382845
2014,1,103,Tsenkanet,6.954209971707314,117.1171209290624,.049455345,.013217929,0,16.841183,.4358430933207274
2015,1,103,Tsenkanet,5.879358979873359,91.86117995530367,.48226324,.025854545,.15835764,15.624353,3.003032385604456
2011,1,103,D/Hiywet,4.348381980438717,94.79473930969834,.00053034438,0,0,21.800003,.0023061400279403
2012,1,103,D/Hiywet,5.787296027876437,142.3897099941969,.026491243,0,0,24.60384,.1533126626163721
2013,1,103,D/Hiywet,6.983962009195238,76.2816900908947,.057468254,0,0,10.922409,.4013560954481363
2014,1,103,D/Hiywet,3.87460500607267,93.99129997938871,0,0,0,24.258291,0
2015,1,103,D/Hiywet,7.906279012560844,166.9332007989287,.021675201,0,.021675201,21.114004,.1713701821863651
2011,1,103,Digum,5.048631007783115,67.14678984507918,.0048475438,0,0,13.299999,.3535930803045631
2012,1,103,Digum,7.700117036700249,63.1507902815938,0,.0079715149,0,8.2012768,.0613816007971764
2013,1,103,Digum,8.094215011224151,133.2263293266296,.019508675,.033192609,0,16.45945,.4265755238011479
2014,1,103,Digum,5.070449991151691,71.233990740031,.1312037,.0099179065,.037841748,14.04885,.7155500017106533
2015,1,103,Digum,4.890327032655478,99.64047947525978,.48260716,0,.48260716,20.375013,2.360106892883778
2011,1,103,Tgereda,4.09001100808382,64.62219050526619,.33042127,0,0,15.800004,1.410590060986579
2012,1,103,Tgereda,7.134686008095741,165.1789398193359,.011269381,0,0,23.151535,.0804034993052483
2013,1,103,Tgereda,6.159111993853003,110.2518194615841,.017953694,.035527281,.0089710169,17.900602,.4779028128832579
2014,1,103,Tgereda,10.3974840156734,106.1522900164127,.048482735,.062361285,0,10.209421,1.630281861871481
2015,1,103,Tgereda,4.133339966647327,85.08957968652248,.64735168,0,.64735168,20.586155,2.675724698696286
2011,1,103,Gemad,3.598271989030764,54.33391966670752,.059274677,.066386826,0,15.100003,.4521642562467605
2012,1,103,Gemad,4.184503990225494,98.66506007313728,.028675083,.0032596455,0,23.578674,.1789805004373193
2013,1,103,Gemad,3.202039018506184,55.86116010323167,0,.014961535,0,17.445496,.0495461694663391
2014,1,103,Gemad,6.435224005021155,84.79219952970743,.062455792,.059446704,0,13.176262,.7844698599656113
2015,1,103,Gemad,3.522623016964644,86.27696035057306,.1577197,0,.14696209,24.492249,.5555870496900752
2011,1,103,Adiksandd,3.236449990421534,51.45954918861389,.066896476,.084886372,.0079338783,15.899999,.4912375984713435
2012,1,103,Adiksandd,2.537160981446505,33.59616011381149,.022963855,0,0,13.241635,.0582630001008511
2013,1,103,Adiksandd,3.36366899497807,33.6777500808239,.30728915,0,.16824593,10.012207,1.033619043882936
2014,1,103,Adiksandd,4.085324971820228,72.36650959774852,0,.010320598,0,17.71377,.0421629995107651
2015,1,103,Adiksandd,2.500398000702262,20.32544020563364,.81828648,0,.40486404,8.1288824,2.046041944995523
2011,1,103,Awal,12.18212009966373,141.3125792443752,0,0,0,11.599998,0
2012,1,103,Awal,11.72042701253668,233.2972904741764,.17270112,.022120524,0,19.905188,2.508043067879044
2013,1,103,Awal,12.87182500213385,234.3187328577042,.04027614,.10790073,0,18.204002,1.907306766137481
