"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"YEM",712,"YEME SPECIAL",71201,"01-01-2010",7,"EZO ZETA",7.81168902106583,127.330700561404,0.235710561275482,0,16.3000221252441
"YEM",712,"YEME SPECIAL",71201,"01-01-2011",7,"EZO ZETA",8.40889701200649,100.906780917197,0.0111125633120537,0,12.0000019073486
"YEM",712,"YEME SPECIAL",71201,"01-01-2012",7,"EZO ZETA",7.74655095115304,127.218200970441,0.153598815202713,0,16.4225597381592
"YEM",712,"YEME SPECIAL",71201,"01-01-2013",7,"EZO ZETA",6.87410101431306,90.7381300446577,0.0303090400993824,0,13.1999998092651
"YEM",712,"YEME SPECIAL",71201,"01-01-2014",7,"EZO ZETA",9.76713005418424,259.80566130951,0.0184078421443701,0,26.6000003814697
"YEM",712,"YEME SPECIAL",71201,"01-01-2015",7,"EZO ZETA",5.20326998562086,107.187370847911,0.00966142490506172,0,20.6000022888184
"YEM",712,"YEME SPECIAL",71201,"01-01-2010",7,"WEYURA KULAZE",6.14808897860348,105.747099354863,0.0890683755278587,0,17.1999950408936
"YEM",712,"YEME SPECIAL",71201,"01-01-2011",7,"WEYURA KULAZE",8.8635520581156,171.953033149242,0.064018577337265,0,19.4000129699707
"YEM",712,"YEME SPECIAL",71201,"01-01-2012",7,"WEYURA KULAZE",11.0768409241864,230.340691172518,0.0316831320524216,0,20.7947998046875
"YEM",712,"YEME SPECIAL",71201,"01-01-2013",7,"WEYURA KULAZE",10.6395509690046,211.727061986923,0.0365577451884747,0,19.8999996185303
"YEM",712,"YEME SPECIAL",71201,"01-01-2014",7,"WEYURA KULAZE",7.58064795006067,213.774260222912,0.0120903383940458,0,28.1999988555908
"YEM",712,"YEME SPECIAL",71201,"01-01-2015",7,"WEYURA KULAZE",9.22392391972244,228.753260850906,0.00484632141888142,0,24.7999935150146
"YEM",712,"YEME SPECIAL",71201,"01-01-2010",7,"FAIYA",8.6620599552989,115.20550006628,0.033192403614521,0,13.3000116348267
"YEM",712,"YEME SPECIAL",71201,"01-01-2011",7,"FAIYA",9.92364797741175,248.091290026903,0.0259734522551298,0,25.0000095367432
"YEM",712,"YEME SPECIAL",71201,"01-01-2012",7,"FAIYA",10.8716939724982,301.432940453291,0.0518372505903244,0,27.7264003753662
"YEM",712,"YEME SPECIAL",71201,"01-01-2013",7,"FAIYA",7.30448399856687,188.455682486296,0.00196851696819067,0,25.7999992370605
"YEM",712,"YEME SPECIAL",71201,"01-01-2014",7,"FAIYA",5.26930504804477,115.924719676375,0.0111720804125071,0,22.0000019073486
"YEM",712,"YEME SPECIAL",71201,"01-01-2015",7,"FAIYA",10.6103197447956,257.830754816532,0,0,24.2999992370605
"SHEKA",708,"Masha",70801,"01-01-2010",7,"Keja",0.300850004889071,2.91820006072521,0.0520575046539307,0,9.69985008239746
"SHEKA",708,"Masha",70801,"01-01-2014",7,"Keja",0.166702002286911,1.65034997463226,1,0,9.90000057220459
"SHEKA",708,"Masha",70801,"01-01-2010",7,"Degele",0.129859000444412,3.57109987735748,0,0,27.4998264312744
"SHEKA",708,"Masha",70801,"01-01-2011",7,"Degele",0.0787499994039536,1.28363001346588,0,0,16.3000640869141
"SHEKA",708,"Masha",70801,"01-01-2013",7,"Degele",0.0850249975919724,0.6632000207901,0,0,7.80005931854248
"SHEKA",708,"Masha",70801,"01-01-2014",7,"Degele",0.232049994170666,1.02102002501488,0,0,4.40000009536743
"SHEKA",708,"Masha",70801,"01-01-2013",7,"Gembeka",0.157833993434906,1.64146995544434,0,0,10.399977684021
"SHEKA",708,"Masha",70801,"01-01-2014",7,"Gembeka",0.236118000000715,4.25012010335922,0.163948997855186,0,17.9999828338623
"SHEKA",708,"Masha",70801,"01-01-2010",7,"Chago",0.458270989358425,2.42889991402626,0,0,5.3001389503479
"SHEKA",708,"Masha",70801,"01-01-2012",7,"Chago",0.0114240003749728,0.0514100007712841,0.5,0,4.50017499923706
"SHEKA",708,"Masha",70801,"01-01-2014",7,"Chago",0.676165994256735,4.93600991368294,0.134103015065193,0,7.29999732971191
"SHEKA",708,"Masha",70801,"01-01-2010",7,"Yena",0.353973001241684,2.23009997606277,0,0,6.30019807815552
"SHEKA",708,"Masha",70801,"01-01-2011",7,"Yena",0.157568005844951,1.13449001312256,0,0,7.20000219345093
"SHEKA",708,"Masha",70801,"01-01-2012",7,"Yena",0.27869500592351,3.53942996263504,0,0,12.7000122070312
"SHEKA",708,"Masha",70801,"01-01-2013",7,"Yena",0.0198160000145435,0.208069995045662,0,0,10.5001010894775
"SHEKA",708,"Masha",70801,"01-01-2014",7,"Yena",0.287887997925282,3.02282997965813,0,0,10.500020980835
"SHEKA",708,"Masha",70801,"01-01-2015",7,"Yena",0.0207219999283552,0.230010002851486,0.199999988079071,0,11.0997972488403
"Gamo Gofa",710,"Melekoza",71001,"01-01-2010",7,"Gayisa",1.27939299959689,23.5408998765051,0.124692879617214,0,18.400053024292
"Gamo Gofa",710,"Melekoza",71001,"01-01-2011",7,"Gayisa",0.906056005042046,6.70481993071735,0.108016394078732,0,7.40000629425049
"Gamo Gofa",710,"Melekoza",71001,"01-01-2012",7,"Gayisa",0.700789004098624,28.1016499102116,0.222470954060555,0,40.1000137329102
